TV Ad Budget ($),Radio Ad Budget ($),Newspaper Ad Budget ($),Sales ($)
189.68751427358578,44.03996313662665,15.849548350925033,19.906282406590584
135.17192401333347,36.99185984806398,27.4065826663994,16.070626371610473
202.64930480855418,24.149320723309184,13.296186995649627,16.752140098834868
277.8010652067151,13.659053112359866,23.847022613139828,18.202757020091468
126.93944083256947,33.630388299573184,0.0,15.088565548552692
126.94085036803159,29.106002430967926,35.19924278011806,14.199128541605932
282.6246102541029,36.55476291355177,30.58025359084406,22.733047724903564
212.93002259296128,32.694274533655495,12.75893651249821,18.834171183333464
106.73613512614426,38.84650888467591,44.91146145222788,15.100768399243815
193.62357819705622,15.317464949593958,50.97298453689047,14.634921586732817
107.25612788876938,42.823098302289935,0.0,15.920867482628381
107.05762767809526,26.19772362415444,13.942906243460133,12.762935353304192
167.81598604232224,54.07500216663671,13.80314039313193,20.799368883640007
0.0,13.031759978284109,10.084206735998247,5.385305004311801
0.0,49.037523322330586,48.618818077525205,12.13349278555639
98.76773358761973,26.202343635975986,26.332734015072198,12.371567940187136
60.08665764771527,13.592521206415503,24.793231564934167,8.225609401064398
174.02196475396414,16.07983935874425,0.0,13.93447527422234
69.08478644057601,18.507864645139623,44.39252835388778,9.543761222637151
25.790244277140516,29.56151086525827,3.5646612975298098,9.6887045872707
272.8746557616452,31.026438721392115,31.859250030425734,21.24326251096538
127.65864814372327,14.746385517156678,36.59488716114192,11.52331151128428
152.8400824431985,22.9024120161378,60.18726764944685,14.188909807284316
24.721832531593208,55.069879218072884,2.049696781860739,14.450473984791882
100.30493692286146,48.91250379007886,0.0,16.750784412215495
156.56567422961243,29.74201426269604,34.557989526525745,15.675470719494728
48.224825407044165,23.82823038839397,69.76665033764563,9.56583567029384
179.29776645009198,25.046082202948394,57.53654285993868,15.806632620543828
95.47512397583411,32.37278426727839,35.120092910492474,13.375079281577213
121.99935587366633,8.07879395769517,19.846841922622012,10.02465083791774
95.38343832141459,19.442779662452555,48.132017002367974,10.919689552494528
306.06842897377925,0.0,9.351506447851548,16.93630038365864
145.883706077754,29.191189520034797,40.9284152422936,15.076157963848466
56.233535952559166,32.8727946163578,41.562442941677745,11.666784984821925
217.66146526333247,16.090222797733155,53.64390958466346,15.877923949847155
42.22790077183292,46.63268112038257,90.6555896306675,13.569039893671611
164.9743244431195,5.065291106704308,39.100278560168576,11.403273987920041
0.0,1.5227055911498724,19.46947417511653,3.205765636322983
33.01210108771008,26.59639331940396,29.997026751564537,9.432773247396932
163.94387106555257,38.81006868757284,0.0,17.75858540962463
210.44298426958792,48.26495310154131,15.424106126468391,21.653127955130223
